YEAR;GBIFID;
2021;3355532732;
2017;3355451939;
2021;3355281035;
2017;3337417952;
2015;3327987656;
2019;3321198152;
2019;3307116753;
2012;3302337253;
2012;3302144770;
2015;3124907238;
2013;3113529309;
2021;3097396585;
2013;3097359608;
2014;3097139630;
2016;3090963664;
2016;3090898591;
2016;3090897574;
2016;3090895591;
2021;3079750591;
2015;3061657449;
2017;3044918797;
2021;3044601146;
2014;3044556239;
2017;3039237972;
2016;3008442030;
2020;2999203815;
2014;2992795945;
2019;2992791440;
2020;2984502981;
2015;2963946696;
2016;2898281703;
2016;2882995189;
2019;2868259735;
2019;2868238337;
2018;2864775127;
2016;2860149030;
2013;2851294178;
2018;2851231150;
2019;2851229232;
2015;2851207895;
2016;2851198364;
2019;2851173830;
2014;2851166172;
2019;2851161824;
2016;2851144353;
2015;2851100388;
2016;2851027310;
2016;2851026345;
2015;2850875045;
2016;2850757426;
2019;2850747647;
2012;2850651981;
2009;2850549049;
2010;2850531997;
2017;2823399634;
1999;2818579024;
2020;2813904473;
2013;2634376414;
2020;2619873468;
2015;2610939121;
2014;2609121298;
2014;2598681694;
2013;2598680802;
2016;2598680629;
2008;2598674664;
2017;2598673663;
2014;2598671648;
2011;2598671346;
2013;2598670802;
2014;2598667309;
2013;2598666866;
2012;2598666418;
2014;2598663651;
2016;2598662488;
2016;2598657870;
2011;2597852345;
2014;2597820566;
2018;2596157063;
2020;2579218405;
2020;2576429742;
2013;2563495755;
2020;2562098273;
2019;2562098234;
2020;2550128381;
2018;2550125437;
2016;2543073068;
2019;2541222306;
2018;2465286023;
2018;2460012486;
1996;2459008178;
2018;2445154610;
2016;2445129342;
2019;2432599969;
2019;2429584114;
2018;2429461747;
2016;2429402865;
2018;2429346784;
2019;2423063235;
2019;2366047700;
2017;2366012007;
2018;2331944945;
2019;2331930400;
2015;2331926831;
2019;2331918668;
2019;2294605463;
2019;2244310650;
2019;2236833858;
2019;2236241002;
2019;2236225164;
2019;2006051378;
2019;2006035825;
2012;1990482916;
2018;1986621739;
2018;1986578629;
2013;1914364026;
2016;1891348015;
2017;1891339560;
2018;1883830000;
2018;1883829552;
2018;1883829464;
2018;1847459704;
2015;1847451503;
2017;1837060683;
2014;1802740771;
2016;1640133321;
2009;1580164846;
2008;1580164328;
2016;1580162843;
2009;1580160714;
2017;1572345915;
2017;1571121375;
2016;1453293096;
2016;1453260382;
2015;1098915584;
2015;1088967808;
2012;1088895984;
1994;922316179;
2013;922314066;
2012;891090725;
